floor,type,v
B3F,Chiller Switchboard冰機總盤,97794.95
B1F,QALAB,69643.8
3F,MIS Room MIS 機房電源,22111.5
4F,Socket插座用電,16340.7
4F,Air Condition空調用電,13204.9
2F,Lighting照明用電,12177.7
B1F,Emergency Lighting緊急照明、導流風機,10983.0
6F,Lighting照明用電,10325.0
4F,Lighting照明用電,9633.2
3F,Lighting照明用電,9604.8
5F,Lighting照明用電,8890.5
B1F,Lighting照明用電,5943.1
2F,Socket插座用電,4963.4
1F,Lighting照明用電,4512.4
6F,Auto Door & Exhaust Gate自動門、排煙閘門,4190.2
3F,Socket插座用電,3623.1
1F,Command Center中控室電源,3045.8
6F,Air Condtion空調用電,2361.3
B1F,Socket插座用電,2344.8
6F,Socket插座用電,2104.8
5F,Power動力用電,2032.9
B1F,AHU & Exhaust Fan排風機、中控空調箱,2021.3999999999999
B3F,Emergency Pump緊急泵浦,2008.4
2F,Air Condition空調用電,1974.8
5F,Air Condition空調用電,1806.5
3F,Air Condition空調用電,1751.9
1F,Socket插座用電,1109.2
B2F,Lighting 照明用電,998.2
1F,Auto Door & Exhaust Gate自動門、排煙閘門,864.6
1F,Air Condition空調用電,824.6
B3F,Lighting 照明用電,450.4
4F,Auto Door & Exhaust Gate自動門、排煙閘門,350.7
5F,Socket插座用電,315.9
5F,Auto Door & Exhaust Gate自動門、排煙閘門,0.0
3F,Auto Door & Exhaust Gate自動門、排煙閘門,0.0
2F,Auto Door & Exhaust Gate自動門、排煙閘門,0.0
